製作日期: 2025-07-24 08:46:54,,,,篩選日期: 2025-05-19 00:00:00 ~ 2025-07-24 23:59:59,,,,,
收文清單,,,,,,,,,
共 64 件公文,,,,,,,,,
序號,收文日期,公文日期,類別,字,文號,主旨,發文單位,受文單位,狀態
54,2025-05-28 12:42:43,中華民國114年5月28日,函,桃工用,1140020894,"檢送「114年度桃園市都市計畫內公共設施完竣地區調查及範圍劃定管理系統建置計畫」派工範圍土地清冊1份，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
55,2025-05-28 08:54:35,中華民國114年5月28日,函,中分局養,1145017209,"「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第六期)」派員驗收案，如說明，請查照。
",交通部公路局中區養護工程分局,"EB50819619
乾坤測繪科技有限公司",收文完成
56,2025-05-26 14:11:30,中華民國114年5月26日,函,桃工用,1140020412,"檢送114年4月17日辦理桃園市平鎮東龍科技園區聯外道路拓寬工程用地取得協議價購土地市價審查會議紀錄1份，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
57,2025-05-26 12:44:19,中華民國114年5月26日,會勘通知單,桃工用,1140020294,"複估本市「新屋區中華南路一段(福九路至高鐵南路七段)道路拓寬工程」案內中華段1044及1046地號土地地上物(電表及水表)
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
58,2025-05-23 14:45:31,中華民國114年5月23日,函,桃工用,1140020094,"檢送有關本局辦理本市「龍潭區龍新路三和段道路拓寬(直坑尾橋至三和段1240巷)」協議價購土地市價審查會議紀錄1份，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
59,2025-05-23 10:41:05,中華民國114年5月23日,函,中分局單信,1145016723,"有關所提「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」邊坡檢測工作執行計畫一案，本段同意核定，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
60,2025-05-23 10:40:57,中華民國114年5月23日,開會通知單,中分局單信,1145016725,"「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」開工前協調會暨安全衛生協議組織會議
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
61,2025-05-22 15:42:31,中華民國114年5月22日,函,桃工用,1140019197,"函轉本府地政局檢送「114年本市地價及標準地價評議委員會預為審查專案小組第5次會議」會議紀錄，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
62,2025-05-21 15:03:08,中華民國114年5月21日,開會通知單,府工用,1140138998,"桃園市「桃園區國強一街至文中路道路開闢工程」用地取得協議價購或以其他方式取得會議
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
63,2025-05-21 14:50:07,中華民國114年5月21日,開會通知單,府工用,1140138998,"桃園市「桃園區國強一街至文中路道路開闢工程」用地取得協議價購或以其他方式取得會議
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
64,2025-05-19 16:30:51,中華民國114年5月19日,函,桃工用,1140018727,"有關本局辦理「新屋區中華南路一段(福九路至高鐵南路七段)道路拓寬工程」一案，復如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
